entity,state_abb,state_area_sq_miles,state_division,state_region,population,births_in_2021,fertility_rate_per_1000,cesarean_percent,life_expect,cancer_rate_per_100000,cancer_mortality,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct
Alabama,AL,51609,East South Central,South,4903185,58054,59.5,35.1,73.2,160.2,10429,64.8,53
Alaska,AK,589757,Pacific,West,731545,9367,64.9,24.2,76.6,156,1093,72.8,64.9
Arizona,AZ,113909,Mountain,West,7278717,77916,55.5,28.7,76.3,134.7,12813,77.1,65.8
Arkansas,AR,53104,West South Central,South,3017804,35965,61.7,34.3,73.8,168.2,6516,69.6,56.7
California,CA,158693,Pacific,West,39512223,420608,52.8,30.8,79,132.4,59503,84.3,74.4
Colorado,CO,104247,Mountain,West,5758736,62949,52.5,27.3,78.3,126.5,8058,83.3,73.2
Connecticut,CT,5009,New England,Northeast,3565287,35670,52.1,35.4,78.4,133.5,6526,95,82.8
Delaware,DE,2057,South Atlantic,South,973764,10482,56.5,31.9,76.7,153.2,2178,87.7,72.9
Florida,FL,58560,South Atlantic,South,21477737,216260,54.9,35.8,77.5,141.6,46937,82.1,69.2
Georgia,GA,58876,South Atlantic,South,10617423,124073,55.9,35.1,75.6,151.5,18136,68.1,57.1
Hawaii,HI,6450,Pacific,West,1415872,15620,59.2,27.7,80.7,125.4,2562,91.1,81.3
Idaho,ID,83557,Mountain,West,1787065,22427,60.7,24.1,78.4,140.4,3130,63.7,56.3
Illinois,IL,56400,East North Central,North Central,12671821,132189,53,31.2,76.8,150,23609,78.9,71
Indiana,IN,36291,East North Central,North Central,6732219,79946,60.2,30.4,75,169.7,13983,64.2,57.6
Iowa,IA,56290,West North Central,North Central,3155070,36835,60.8,29.7,77.5,150.9,6258,70.4,64.2
Kansas,KS,82264,West North Central,North Central,2913314,34705,61,29.6,76.4,150.8,5455,75.9,65
Kentucky,KY,40395,East South Central,South,4467673,52214,60.8,34.7,73.5,181.1,10250,68.6,59.4
Louisiana,LA,48523,West South Central,South,4648794,57437,62.7,37.1,73.1,163.9,9246,62.7,54.9
Maine,ME,33215,New England,Northeast,1344212,12006,49.9,30.9,77.8,161.3,3385,95,83
Maryland,MD,10577,South Atlantic,South,6045680,68285,56.4,34.3,76.8,139.2,10545,91.3,79.4
Massachusetts,MA,8257,New England,Northeast,6892503,69137,49,31.8,79,137.4,12461,95,83.8
Michigan,MI,58216,East North Central,North Central,9986857,104980,55.4,33.2,76,160.1,21211,69.3,62.2
Minnesota,MN,84068,West North Central,North Central,5639632,64425,58.6,28.9,79.1,143.2,10178,78.5,71.9
Mississippi,MS,47716,East South Central,South,2976149,35156,60.7,38.5,71.9,181.8,6617,61.5,53.6
